number,title,source,title_lower,has_erc20,has_erc721,has_erc1155,has_safemath,has_accesscontrol,has_governor,has_ownable,has_proxy,has_timelock,has_merkle,op_transfer,op_approve,op_mint,op_burn,op_initialize,op_deploy,op_upgrade,op_delegatecall,op_verify,op_validate
5370,fix:  Fix invalid usage of import.meta.dirname Update run.js,fix,fix:  fix invalid usage of import.meta.dirname update run.js,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5369,docs: fix typo Update README.adoc,fix,docs: fix typo update readme.adoc,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5365,Fix documentation formatting and readability,fix,fix documentation formatting and readability,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5361,Fix README.adoc,fix,fix readme.adoc,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5356,Fix grammar in documentation,fix,fix grammar in documentation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5354,fix typo Update inheritance-ordering.js,fix,fix typo update inheritance-ordering.js,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5352,Fix typos in GUIDELINES.md and SECURITY.md,fix,fix typos in guidelines.md and security.md,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5351,fix: typos in documentation files,fix,fix: typos in documentation files,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5349,Grammar fixes in documentation,fix,grammar fixes in documentation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5344,Fix typos and improve consistency in documentation,fix,fix typos and improve consistency in documentation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5342,"Cherry-pick ""Fix v5.2 testing"" from the release-v5.2 branch",fix,"cherry-pick ""fix v5.2 testing"" from the release-v5.2 branch",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5339,Fix v5.2 testing,fix,fix v5.2 testing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5335,Fix Syntax Errors in Mapping Definitions,fix,fix syntax errors in mapping definitions,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5334,Fix Syntax Error in _balances Mapping Declaration,fix,fix syntax error in _balances mapping declaration,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5333,Fix typo in paymasterData function comment,fix,fix typo in paymasterdata function comment,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5332,Fix return type for decodeSingle function to avoid potential issues w…,fix,fix return type for decodesingle function to avoid potential issues w…,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5331,Fix incorrect syntax in RoleData mapping definition,fix,fix incorrect syntax in roledata mapping definition,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5330,Release v5.2 audit fixes,fix,release v5.2 audit fixes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5329,Fix typo in ERC721 API reference docs,fix,fix typo in erc721 api reference docs,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5326,Fix typos improved clarity,fix,fix typos improved clarity,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5317,Various changes to code clarity (Fix N-07),fix,various changes to code clarity (fix n-07),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5316,Fix: Ensure cross-platform compatibility for sed command in CI script,fix,fix: ensure cross-platform compatibility for sed command in ci script,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5308,"Fix 5.2 audit L-05, N-03, N-04, N-05 and N-06 issues",fix,"fix 5.2 audit l-05, n-03, n-04, n-05 and n-06 issues",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5305,fix: typos in documentation files,fix,fix: typos in documentation files,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5302,fix: typos,fix,fix: typos,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5300,Fix docs in the extending-contracts section,fix,fix docs in the extending-contracts section,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5297,Fix typo in GUIDELINES.md,fix,fix typo in guidelines.md,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5248,Fix account abstraction upgradeable testing,fix,fix account abstraction upgradeable testing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
5241,Bug report,bug,bug report,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5240,Fix typo in CHANGELOG.md,fix,fix typo in changelog.md,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5235,Fix spelling issues in documentation,fix,fix spelling issues in documentation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5232,Fix invalid link and typos,fix,fix invalid link and typos,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5222,Fix typo in ERC4626 docs,fix,fix typo in erc4626 docs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5218,Fix P256 corner cases,fix,fix p256 corner cases,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5199,Fix ordering of functions,fix,fix ordering of functions,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5194,Fix typographical errors,fix,fix typographical errors,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5171,Fix typographical errors,fix,fix typographical errors,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5141,Fix `prepare` when using as git repository dependency,fix,fix `prepare` when using as git repository dependency,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5136,Fix natspec comment missing *,fix,fix natspec comment missing *,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5128,Fix documentation of private function `_upperLookupBinary` in Checkpoints.sol,fix,fix documentation of private function `_upperlookupbinary` in checkpoints.sol,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5121,Fix typo in Heap.sol documentation,fix,fix typo in heap.sol documentation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5118,Fix documentation typos,fix,fix documentation typos,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5115,Typographic error in Math.sol comment fix,fix,typographic error in math.sol comment fix,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5105,Fix grammar errors in utilities documentation,fix,fix grammar errors in utilities documentation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5096,Fix docs links to ERC165,fix,fix docs links to erc165,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5088,Fix repeated word in `ERC2771Forwarder` comments,fix,fix repeated word in `erc2771forwarder` comments,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5086,chore: fix the broken link,fix,chore: fix the broken link,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5069,Fix dirty bits in upper bits in implementation address in `Clones.sol`,fix,fix dirty bits in upper bits in implementation address in `clones.sol`,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5058,Fix invalid memory-safe annotation,fix,fix invalid memory-safe annotation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5055,Fix Codespell,fix,fix codespell,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5049,Fix spelling ,fix,fix spelling ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5048,Fix typo in Governance docs,fix,fix typo in governance docs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5041,Fix typo in  GovernorVotesQuorumFraction.test.js,fix,fix typo in  governorvotesquorumfraction.test.js,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5037,Fix Governor.t.sol's duplicate words,fix,fix governor.t.sol's duplicate words,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5033,Fix Typo in Math.sol,fix,fix typo in math.sol,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5031,Fix `UPGRADE_INTERFACE_VERSION` documentation in `ProxyAdmin`,fix,fix `upgrade_interface_version` documentation in `proxyadmin`,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
5026,Fix typo in `Math.ternary`,fix,fix typo in `math.ternary`,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5004,Fix broken references in doc-site,fix,fix broken references in doc-site,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5003,Fix API documentation broken links in the doc-site,fix,fix api documentation broken links in the doc-site,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5000,bugs in the docs code? ERC721,bug,bugs in the docs code? erc721,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4969,Fix excessive gas usage when at or near cap.,fix,fix excessive gas usage when at or near cap.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4966,"Fixing ""Invalid OpCode"" Truffle Error with Openzeppelin Library Installed",fix,"fixing ""invalid opcode"" truffle error with openzeppelin library installed",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4938,Fix typo in ERC721Utils.sol,fix,fix typo in erc721utils.sol,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4922,Bug bounty,bug,bug bounty,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4920,Fix typos in utilities and access control docs,fix,fix typos in utilities and access control docs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4890,Fix typo in AccessManaged.sol,fix,fix typo in accessmanaged.sol,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4884,Fixed ERC1155 token transfer for unauthorized account,fix,fixed erc1155 token transfer for unauthorized account,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4876,Fix natspec comments in ERC-1155,fix,fix natspec comments in erc-1155,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4838,Fix gasReport format,fix,fix gasreport format,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4824,Fix gas report generation,fix,fix gas report generation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4820,Security Enhancement: Fix squaring in mulDiv function in Math library,fix,security enhancement: fix squaring in muldiv function in math library,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4815,Fix documentation inaccuracies in Governor,fix,fix documentation inaccuracies in governor,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4707,param provided instead of fixed value,fix,param provided instead of fixed value,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4706,Use param instead of a fixed value in event,fix,use param instead of a fixed value in event,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4699,Fix release tagging,fix,fix release tagging,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4697,Fixed Misleading Typo in CHANGELOG.md related to false solidity version,fix,fixed misleading typo in changelog.md related to false solidity version,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4654,Fix guides for 5.0,fix,fix guides for 5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4648,Fix coverage analysis,fix,fix coverage analysis,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4646,Fix release tagging,fix,fix release tagging,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4640,"Fixed  compile, coverage, doc, docs:watch script",fix,"fixed  compile, coverage, doc, docs:watch script",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4637,Fix upgradeable patch in release branches,fix,fix upgradeable patch in release branches,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4634,Fix warning format in the readme,fix,fix warning format in the readme,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4616,Fix changesets,fix,fix changesets,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4612,Fix `AccessManager._checkAuthorized` in `execute` context,fix,fix `accessmanager._checkauthorized` in `execute` context,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4610,Merge latest audit fixes,fix,merge latest audit fixes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4609,Fix minor mistake in GovernorTimelockAccess documentation,fix,fix minor mistake in governortimelockaccess documentation,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4601,Fix various documentation errors,fix,fix various documentation errors,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4597,Fix function documentation in Nonces,fix,fix function documentation in nonces,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4595,Fix typographical errors & comments,fix,fix typographical errors & comments,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4593,Fix flaky test in AccessManager,fix,fix flaky test in accessmanager,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4574,Fix accuracy of docs for ERC20._burn,fix,fix accuracy of docs for erc20._burn,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4571,Fix some spelling issues in AccessManager.sol & Time.sol,fix,fix some spelling issues in accessmanager.sol & time.sol,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4532,Fix blog link ,fix,fix blog link ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4516,Some fixes and improvements to AccessManager,fix,some fixes and improvements to accessmanager,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4487,Fix issues in the ERC4646Fee documentation,fix,fix issues in the erc4646fee documentation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4483,#fixes Some modifiers could use internal functions to reduce code size impact ,fix,#fixes some modifiers could use internal functions to reduce code size impact ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4474,OpenZeppelin avoided paying the bug bounty for disclosing a flaw in the contract that caused a freeze of $1.1B worth of assets,bug,openzeppelin avoided paying the bug bounty for disclosing a flaw in the contract that caused a freeze of $1.1b worth of assets,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4462,Fix typo in MessageHashUtils.sol,fix,fix typo in messagehashutils.sol,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4452,Fix typos in the tests,fix,fix typos in the tests,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4391,Fix details AccessControl-test,fix,fix details accesscontrol-test,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4386,Fix visibility in ERC721._checkOnERC721Received documentation,fix,fix visibility in erc721._checkonerc721received documentation,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4383,5.0 Architecture Thread - Fix Governance Interface Architecture,fix,5.0 architecture thread - fix governance interface architecture,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4375,"Bugs:README.md ""guides on our blog"" 404 Page not found",bug,"bugs:readme.md ""guides on our blog"" 404 page not found",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4374,Fix attempt to delete nonexistent npm tag,fix,fix attempt to delete nonexistent npm tag,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4340,`IERC1155`: Fix `safeBatchTransferFrom` documentation,fix,`ierc1155`: fix `safebatchtransferfrom` documentation,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4304,Fix typo in crosschain.adoc,fix,fix typo in crosschain.adoc,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4285,fix: avoid zero-value transfer attack,fix,fix: avoid zero-value transfer attack,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4282,Fix doc MyGovernor example doesn't compile,fix,fix doc mygovernor example doesn't compile,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4278,Fix docs snippets that don't compile,fix,fix docs snippets that don't compile,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4273,Fix release merge script,fix,fix release merge script,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4265,Fix error when running hardhat test with parameters,fix,fix error when running hardhat test with parameters,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4255,Bug in CountersUpgradeable.sol document,bug,bug in countersupgradeable.sol document,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4250,Fix grammar in docs,fix,fix grammar in docs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4249,Fixed grammatical erros,fix,fixed grammatical erros,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4238,Fix bug allowing anyone to cancel an admin renounce,fix,fix bug allowing anyone to cancel an admin renounce,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4232,Fix spelling error in CHANGELOG.md,fix,fix spelling error in changelog.md,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4218,Fix lookup documentation in ERC20Votes and Checkpoints,fix,fix lookup documentation in erc20votes and checkpoints,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4213,Fix early reporting of FV prover's output,fix,fix early reporting of fv prover's output,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4184,Fix Checkpoints fuzz overflow,fix,fix checkpoints fuzz overflow,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4183,Fix release note in `IERC1967`,fix,fix release note in `ierc1967`,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4179,Make sendValue suggest a fix on revert,fix,make sendvalue suggest a fix on revert,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4177,Fix AccessControlDefaultAdminRules admin consistency,fix,fix accesscontroldefaultadminrules admin consistency,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4168,"Alternative fix  for the TransparentUpgradeableProxy ""decoding"" bug",fix,"alternative fix  for the transparentupgradeableproxy ""decoding"" bug",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
4160,Fix spurious CI check failures,fix,fix spurious ci check failures,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4154,Fix TransparentUpgradeableProxy's transparency,fix,fix transparentupgradeableproxy's transparency,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
4152,Fix calldata encoding when signatures is an empty array,fix,fix calldata encoding when signatures is an empty array,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4129,Fix typo in README,fix,fix typo in readme,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4128,Fix small typos in README,fix,fix small typos in readme,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4088,Fix empty short string encoding,fix,fix empty short string encoding,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4085,docs: minor grammar fix,fix,docs: minor grammar fix,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4082,Fix an upgrade replay bug in Governor.propose,fix,fix an upgrade replay bug in governor.propose,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4074,Fix ERC1363 interfaceId,fix,fix erc1363 interfaceid,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4060,Fix comment in `ERC4626` on decimals default,fix,fix comment in `erc4626` on decimals default,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4055,Fix ERC4906 compliance of ERC721URIStorage,fix,fix erc4906 compliance of erc721uristorage,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4046,Fix flaky timestamp tests ,fix,fix flaky timestamp tests ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4015,Fix typos,fix,fix typos,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3994,Fix Governance docs reference to blocktime,fix,fix governance docs reference to blocktime,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3991,Improvment Bugish Behavior to ERC-721 Token Counters ,bug,improvment bugish behavior to erc-721 token counters ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3988,fix: lint should not override files,fix,fix: lint should not override files,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3982,Fix comment on ERC777._beforeTokenTransfer,fix,fix comment on erc777._beforetokentransfer,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3978,Fix changeset action access to ref branch,fix,fix changeset action access to ref branch,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3957,Fix wrong PR `CHANGELOG` link,fix,fix wrong pr `changelog` link,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3948,Fix governance tutorial contract,fix,fix governance tutorial contract,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3921,Fix ERC20._update,fix,fix erc20._update,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3916,Fix docs for Math.log256,fix,fix docs for math.log256,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3901,Fix links to Wizard,fix,fix links to wizard,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3899,Fix typos in testing files,fix,fix typos in testing files,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3832,Fix whitespace in docs,fix,fix whitespace in docs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3822,"Fixed GPLQ spec, all rules passing",fix,"fixed gplq spec, all rules passing",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3806,Fix outdated docs about timelock admin,fix,fix outdated docs about timelock admin,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3793,Remove the draft prefix to ERC20Permit,fix,remove the draft prefix to erc20permit,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3791,Security fixes for contracts using Solidity v0.7?,fix,security fixes for contracts using solidity v0.7?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3790,Remove the draft prefix for `ERC20Permit` and `IERC20Permit` as it is now final,fix,remove the draft prefix for `erc20permit` and `ierc20permit` as it is now final,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3782,grammar fix,fix,grammar fix,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3779,few typo fixes,fix,few typo fixes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3778,Fix comment in ERC721Consecutive,fix,fix comment in erc721consecutive,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3765,fixed confusing comment,fix,fixed confusing comment,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3752,typo fix,fix,typo fix,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3748,Use unchecked in ERC20Votes and fix typo,fix,use unchecked in erc20votes and fix typo,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3747,Fix typo in a comment,fix,fix typo in a comment,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3741,"Fix typos, improve wording and punctuation.",fix,"fix typos, improve wording and punctuation.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3732,Fix incorrect issue number in CHANGELOG,fix,fix incorrect issue number in changelog,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3728,Fixes broken link,fix,fixes broken link,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3716,Fix fuzzing coverage,fix,fix fuzzing coverage,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3710,Fix issue number in CHANGELOG,fix,fix issue number in changelog,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3685,Fix relevant warnings,fix,fix relevant warnings,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
